1. Events in the passive voice,2. Nominalized events,3. Events in a subordinate clause,4. Events in a condition,5. Events that are counterfactuals,6. Events that are in direct speech,7. Events that are in indirect speech,8. Events that come with a citation,9. Events that are paraphrased,10. Dates,11. Tense of the verbs in the text,12. Aspectual markers of the verbs,13. Events that are in the future and speculative,text,11. Tense of the verbs,6. Events in direct speech,7. Events in indirect speech,4. Events that are in a condition,5. Events that are counterfactual,12. Aspectual markers,11. Tense of the veins in the text,1. Events in the passice voice
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""perfect aspect""","""no""",the letters both ( 1 ) established audreys ongoing need for daily skilled nursing care ; and ( 2 ) evidenced the fact that audreys need for daily skilled nursing care had not changed nor diminished over the period for which claims were submitted .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""ongoing""","""no""",mr . lou and his wife also personally attested to audreys ongoing need for daily medical assessment and skilled nursing care in support of the appeal .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""past""]","""no""",maxim also submitted extensive nursing care documentation evidencing audreys need for daily skilled nursing care .,,,,,,,,
"""yes""","""yes""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","[""03/08/24""]","""past""","[""is believed""]","""no""","defendant , iom health systems , who conducts business in the state of indiana under the assumed name lutheran hospital of indiana is believed to be a business organized under the laws of the state of delaware with its principal place of business located at 4000 meridian boulevard , franklin , tennessee 37067 and whose registered agent is corporation service company of america with a usdc in / nd case 1:24 - cv-00109 document 1 filed 03/08/24 page 2 of 9 service of process address listed as 135 north pennsylvania street , suite 1610 , indianapolis , indiana , it is believed that this defendant conducts business throughout the united states , including in the northern district of indiana where plaintiff resides and at pertinent times herein employed plaintiff .",,,,,,,,
"""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present""","""static""","""no""","defendant , unum group formerly unum provident corporation , is believed to be a business incorporated under the laws of the state of delaware with its principal place of business located at 1 fountain square , chattanooga , tennessee 37402 and whose registered agent is corporation service company with a service of process address listed as 2908 poston avenue , nashville , tennessee",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""no specific aspectual markers identified""","""no""","in addition to posting the guidelines , ms . salome had several conversations with rivera regarding the need to store the rolls with the labels right side up .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no unique aspectual markers""","""no""","nevertheless , in spite of those discussions , rivera continued to store the rolls with the labels upside down .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""none""","""no""",ms . salome verbally counseled rivera regarding his failure to properly store the rolls .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","in spite of that verbal counseling , rivera ignored ms . salome and continued to store the rolls upside down .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","[""May 6, 2021""]","""past""","""simple""","""no""","as a result , on may 6 , 2021 , ms . salome decided to issue rivera a written warning and advised ms . arvan as well as the companys human resources officer , rachel reed .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no dates mentioned""","""past tense""","""no specific aspectual markers""","""no""",ms . salome and ms . reed prepared the written warning .,,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""May 11, 2021""]","""past""","[""perfected aspect ('had posted')""]","""no""","prior to issuing the written warning , on may 11 , 2021 , ms . salome noticed that someone defaced the storing guidelines that she had posted .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","[""04/04/22""]","""past""","""simple""","""no""","indeed , one of the employee wrote the words wha , wha , wha on the posted case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 5 of 16 pageid # : 109 6 guidelines .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""",[],"""past""","""none""","""no""","ms . salome , who was very familiar with riveras handwriting ( because she reviewed it daily ) , believed rivera defaced the picture .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""no specific markers""","""no""","accordingly , she took a picture of the defaced guidelines and forwarded the same to ms . arvan and ms . reed .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""[]""","""no""","rather than pursue the grievance through the contracts grievance and arbitration procedure , the union directed hospital employees to refuse to pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""habitual aspect ('would regularly')""","""no""","specifically , prior to the dispute over employees obligation to work holidays , employees would regularly and voluntarily pick up extra shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","[""arose"", ""stopped""]","""no""","but once the dispute over holiday work arose , employees stopped picking up shifts beyond their normal scheduled work .",,,,,,,,
"""no""","""yes""","""yes""","""yes""","""no""","""yes""","""no""","""no""","""no""","[""end of May"", ""first 2 weeks of June""]","""present""","[""progressive aspect (are asking, are not allowing)""]","""yes""","after the aforementioned dispute arose , a member of the union and a hospital employee provided to a member of the hospitals administration a text message stating , in part : per union unless you had originally picked up ot or st when it was first offered we should be giving back those hours for this coming week and they are asking us not to pick up anything through the end of may and the first 2 weeks of june because they still are not allowing people to take vacation on a holiday unless they have adequate staffing [ . ]",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""yes""",[],"""present""","""none""","""no""","upon information and belief , the references to ot and st in the text message mean overtime and straight time , respectively .",,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""present perfect""","""perfect aspect (has caused)""","""no""",the union members concerted refusal to pick up extra shifts is a violation of the contracts and has caused the hospital great hardship in achieving adequate staffing for the hospitals operations .,,,,,,,,
"""yes""","""yes""","""yes""","""yes""","""yes""","""no""","""no""","""yes""","""no""","[""04/13/23""]","""past""","""perfective""","""no""","as a result of the union and its members conduct , the hospital was forced to hire so - called traveler nurses and to pay an extraordinary premium , in the millions of case 3:23 - cv-00466 document 1 filed 04/13/23 page 5 of 10 6 dollars , for adequate staffing compared with the cost to the hospital had the union not directed its members to engage in this concerted effort and had the union members picked up extra shifts as they had in the past .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","""no""","[""June 2021""]","""past""","""simple""","""no""","approximately one month later , in june 2021 , ms . arvan went out onto the floor and walked past the roll tunnel .",,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","as she did so , she noticed that rivera was pushing the rolls of paper ( which weigh thousands of pounds ) with his hands .",,,,,,,,
"""no""","""yes""","""no""","""yes""","""no""","""no""","""no""","""no""","""no""",[],"""past""","""simple aspect""","""no""","ms . arvan , consistent with the the companys requirement that managers intervene when they observe unsafe behavior , approached rivera to address his unsafe conduct .",,,,,,,,
"""no""","""no""","""no""","""no""","""no""","""yes""","""no""","""no""","""no""",[],"""past""","""none""","""no""",ms . arvan told rivera that the rolls were too heavy to be pushed with his hands .,,,,,,,,
"""no""","""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""no""",[],"""past""","""progressive""","""no""",he responded that she was picking on him .,,,,,,,,
"""no""","""yes""","""no""","""no""","""no""","""yes""","""no""","""yes""","""no""","[""04/04/22""]","""past""","""progressive""","""no""","ms . arvan said no , she was simply trying to have a case : 1:22 - cv-00174 - sjd doc # : 4 filed : 04/04/22 page : 7 of 16 pageid # : 111 8 safety discussion with him .",,,,,,,,
